user_id,ab_group,ts,pdate,session_number
2JM4L+sRXYIWAFSC8XaTPg==,B,2023-05-01T08:17:45.766570Z,2023-05-01,1
2JM4L+sRXYIWAFSC8XaTPg==,B,2023-05-01T08:18:23.403884Z,2023-05-01,1
2JM4L+sRXYIWAFSC8XaTPg==,B,2023-05-01T08:18:24.197308Z,2023-05-01,1
2JM4L+sRXYIWAFSC8XaTPg==,B,2023-05-01T08:18:26.551874Z,2023-05-01,1
2JM4L+sRXYIWAFSC8XaTPg==,B,2023-05-01T08:18:28.284787Z,2023-05-01,1
2JM4L+sRXYIWAFSC8XaTPg==,B,2023-05-01T08:18:54.868559Z,2023-05-01,1
2JM4L+sRXYIWAFSC8XaTPg==,B,2023-05-01T08:23:20.092009Z,2023-05-01,1
2JM4L+sRXYIWAFSC8XaTPg==,B,2023-05-01T08:23:20.688954Z,2023-05-01,1
2JM4L+sRXYIWAFSC8XaTPg==,B,2023-05-01T08:23:21.359983Z,2023-05-01,1
2JM4L+sRXYIWAFSC8XaTPg==,B,2023-05-01T08:23:23.231156Z,2023-05-01,1
2JM4L+sRXYIWAFSC8XaTPg==,B,2023-05-01T08:35:56.803839Z,2023-05-01,1
2JM4L+sRXYIWAFSC8XaTPg==,B,2023-05-01T08:49:02.359266Z,2023-05-01,1
2JM4L+sRXYIWAFSC8XaTPg==,B,2023-05-01T08:50:45.580486Z,2023-05-01,1
2JM4L+sRXYIWAFSC8XaTPg==,B,2023-05-01T08:52:01.329617Z,2023-05-01,1
2JM4L+sRXYIWAFSC8XaTPg==,B,2023-05-01T08:54:48.682192Z,2023-05-01,1
2JM4L+sRXYIWAFSC8XaTPg==,B,2023-05-01T08:56:08.096148Z,2023-05-01,1
2JM4L+sRXYIWAFSC8XaTPg==,B,2023-05-01T08:56:21.607059Z,2023-05-01,1
2JM4L+sRXYIWAFSC8XaTPg==,B,2023-05-01T08:57:37.363424Z,2023-05-01,1
2OgK/ukRgvkWAOaa8XaTPg==,A,2023-05-02T12:24:33.553327Z,2023-05-02,1
2OgK/ukRgvkWAOaa8XaTPg==,A,2023-05-02T12:32:23.215284Z,2023-05-02,1
2OgK/ukRgvkWAOaa8XaTPg==,A,2023-05-02T12:33:01.050395Z,2023-05-02,1
2OgK/ukRgvkWAOaa8XaTPg==,A,2023-05-02T12:36:18.233874Z,2023-05-02,1
2OgK/ukRgvkWAOaa8XaTPg==,A,2023-05-02T12:36:45.210274Z,2023-05-02,1
2OgK/ukRgvkWAOaa8XaTPg==,A,2023-05-02T12:36:54.251438Z,2023-05-02,1
2OgK/ukRgvkWAOaa8XaTPg==,A,2023-05-02T12:37:39.181624Z,2023-05-02,1
2OgK/ukRgvkWAOaa8XaTPg==,A,2023-05-02T12:37:57.761142Z,2023-05-02,1
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-01T18:58:45.338597Z,2023-05-01,1
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-01T19:01:05.548678Z,2023-05-01,1
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-01T19:01:43.279678Z,2023-05-01,1
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-01T19:02:17.228664Z,2023-05-01,1
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-01T19:03:30.637472Z,2023-05-01,1
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-01T19:04:19.203838Z,2023-05-01,1
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-04T10:01:39.700496Z,2023-05-04,2
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-04T10:02:25.331497Z,2023-05-04,2
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-04T10:05:41.889035Z,2023-05-04,2
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-04T10:05:52.770466Z,2023-05-04,2
